ISO,NAME,GOOGLE SPEECH,TWILIO SPEECH,GOOGLE TRANSLATE,DEEPL TRANSLATE
as,ASSAMESE,/,/,as,/
be,BELARUSIAN,/,/,be,/
bo,TIBETAN,/,/,/,/
ceb,CEBUANO,/,/,ceb,/
co,CORSICAN,/,/,co,/
eo,ESPERANTO,/,/,eo,/
fy,FRISIAN,/,/,fy,/
ga,IRISH,/,/,ga,/
gd,SCOTS_GAELIC,/,/,gd,/
ha,HAUSA,/,/,ha,/
haw,HAWAIIAN,/,/,haw,/
he,HEBREW,/,/,he,/
hmn,HMONG,/,/,hmn,/
ht,HAITIAN_CREOLE,/,/,ht,/
ig,IGBO,/,/,ig,/
ku,KURDISH,/,/,ku,/
ky,KYRGYZ,/,/,ky,/
la,LATIN,/,/,la,/
lb,LUXEMBOURGISH,/,/,lb,/
mg,MALAGASY,/,/,mg,/
mi,MAORI,/,/,mi,/
mt,MALTESE,/,/,mt,/
ny,NYANJA,/,/,ny,/
or,ORIYA,/,/,or,/
rw,KINYARWANDA,/,/,rw,/
sm,SAMOAN,/,/,sm,/
sn,SHONA,/,/,sn,/
so,SOMALI,/,/,so,/
st,SESOTHO,/,/,st,/
tg,TAJIK,/,/,tg,/
tk,TURKMEN,/,/,tk,/
tl,TAGALOG,/,/,tl,/
tt,TATAR,/,/,tt,/
ug,UIGHUR,/,/,ug,/
wo,WOLOF,/,/,/,/
xh,XHOSA,/,/,xh,/
yi,YIDDISH,/,/,yi,/
yo,YORUBA,/,/,yo,/
